,assists,blocks,date,defensive_rebounds,field_goal_attempts,field_goals,first_name,free_throw_attempts,free_throws,is_home,last_name,offensive_rebounds,opponent,personal_fouls,points,seconds_played,steals,team,three_point_field_goal_attempts,three_point_field_goals,total_rebounds,turnovers
0,3,0,2012-10-30,9,16,10,LeBron,5,4,True,James,1,BOS,2,26,1732.0,2,MIA,4,2,10,0
1,9,2,2012-10-30,11,7,3,Anderson,3,3,True,Varejao,12,WAS,4,9,2242.0,0,CLE,0,0,23,1
2,6,3,2012-10-30,9,19,8,Pau,8,6,True,Gasol,4,DAL,2,23,2419.0,0,LAL,1,1,13,2
3,5,0,2012-10-30,5,15,6,Paul,9,9,False,Pierce,0,MIA,3,23,2434.0,2,BOS,4,2,5,0
4,4,1,2012-10-30,1,22,10,Dwyane,11,9,True,Wade,2,BOS,3,29,2107.0,2,MIA,0,0,3,4
5,13,0,2012-10-30,7,14,9,Rajon,4,2,False,Rondo,0,MIA,4,20,2613.0,0,BOS,2,0,7,4
6,3,1,2012-10-30,6,20,11,Kyrie,5,4,True,Irving,0,WAS,4,29,2074.0,0,CLE,6,3,6,4
7,2,0,2012-10-30,2,7,5,Ray,8,7,True,Allen,0,BOS,1,19,1835.0,0,MIA,3,2,2,0
8,1,3,2012-10-30,8,15,8,Chris,4,3,True,Bosh,2,BOS,3,19,2217.0,0,MIA,1,0,10,1
9,4,0,2012-10-30,2,12,8,Darren,2,1,False,Collison,0,LAL,2,17,1920.0,3,DAL,1,0,2,2
10,0,0,2012-10-30,1,14,11,Kobe,0,0,True,Bryant,0,DAL,3,22,2092.0,1,LAL,0,0,1,2
11,1,0,2012-10-30,5,11,6,Brandon,4,3,False,Bass,6,MIA,2,15,1699.0,0,BOS,0,0,11,1
12,5,0,2012-10-30,7,8,5,Tristan,4,2,True,Thompson,3,WAS,2,12,1891.0,1,CLE,0,0,10,2
13,11,0,2012-10-30,1,7,3,Mario,2,2,True,Chalmers,0,BOS,3,8,2189.0,3,MIA,1,0,1,1
14,1,0,2012-10-30,1,8,6,Leandro,2,1,False,Barbosa,0,MIA,1,16,950.0,0,BOS,3,3,1,0
15,4,2,2012-10-30,2,8,3,Trevor,2,1,False,Ariza,1,CLE,0,9,1475.0,3,WAS,4,2,3,0
16,0,3,2012-10-30,4,5,5,Brandan,5,4,False,Wright,1,LAL,3,14,1171.0,0,DAL,0,0,5,3
17,5,0,2012-10-30,0,8,4,Rodrigue,2,2,False,Beaubois,1,LAL,2,11,1010.0,1,DAL,2,1,1,0
18,2,1,2012-10-30,6,12,8,Dwight,14,3,True,Howard,4,DAL,6,19,2279.0,0,LAL,0,0,10,3
19,1,1,2012-10-30,5,5,4,Rashard,2,1,True,Lewis,0,BOS,1,10,1135.0,0,MIA,2,1,5,0
20,0,1,2012-10-30,4,6,4,Earl,1,0,False,Barron,4,CLE,2,8,975.0,1,WAS,0,0,8,0
21,0,0,2012-10-30,2,14,6,Dion,4,3,True,Waiters,0,WAS,0,17,1694.0,3,CLE,5,2,2,3
22,4,1,2012-10-30,7,11,5,Shawn,1,1,False,Marion,2,LAL,4,11,1973.0,1,DAL,0,0,9,2
23,1,0,2012-10-30,3,6,4,Martell,0,0,False,Webster,0,CLE,1,9,1405.0,2,WAS,3,1,3,0
24,0,4,2012-10-30,2,10,4,Emeka,4,2,False,Okafor,5,CLE,1,10,1475.0,0,WAS,0,0,7,1
25,1,1,2012-10-30,2,5,3,Daniel,4,2,True,Gibson,1,WAS,2,10,971.0,0,CLE,4,2,3,0
26,5,1,2012-10-30,2,13,4,Jordan,4,3,False,Crawford,1,CLE,1,11,1722.0,1,WAS,6,0,3,1
27,2,1,2012-10-30,9,10,3,Elton,2,2,False,Brand,2,LAL,4,8,2172.0,1,DAL,0,0,11,0
28,2,0,2012-10-30,3,7,3,Jae,0,0,False,Crowder,0,LAL,1,8,1170.0,1,DAL,4,2,3,0
29,1,0,2012-10-30,1,6,5,Courtney,0,0,False,Lee,0,MIA,5,11,1440.0,0,BOS,1,1,1,1
30,3,0,2012-10-30,0,13,4,O.J.,2,2,False,Mayo,1,LAL,0,12,1870.0,1,DAL,4,2,1,2
31,2,0,2012-10-30,4,4,2,Antawn,1,1,True,Jamison,1,DAL,3,5,902.0,1,LAL,1,0,5,0
32,1,1,2012-10-30,1,4,3,Jan,4,1,False,Vesely,3,CLE,3,7,1274.0,0,WAS,0,0,4,1
33,0,0,2012-10-30,1,6,4,Jordan,6,1,True,Hill,4,DAL,2,9,855.0,0,LAL,0,0,5,1
34,2,0,2012-10-30,4,12,5,Vince,2,1,False,Carter,0,LAL,3,11,1610.0,1,DAL,4,0,4,1
35,2,2,2012-10-30,11,8,4,Kevin,1,1,False,Garnett,1,MIA,4,9,1903.0,0,BOS,0,0,12,5
36,1,0,2012-10-30,2,4,2,Shane,0,0,True,Battier,0,BOS,3,6,1745.0,1,MIA,3,2,2,0
37,3,0,2012-10-30,3,8,2,Bradley,2,2,False,Beal,0,CLE,1,8,1293.0,1,WAS,4,2,3,2
38,4,1,2012-10-30,2,9,3,Steve,0,0,True,Nash,0,DAL,1,7,2049.0,0,LAL,4,1,2,1
39,0,1,2012-10-30,2,4,2,Tyler,2,1,True,Zeller,0,WAS,2,5,893.0,1,CLE,0,0,2,0
40,3,0,2012-10-30,1,6,2,Jannero,2,2,False,Pargo,0,CLE,3,7,981.0,0,WAS,4,1,1,1
41,2,0,2012-10-30,2,7,2,Chris,0,0,False,Singleton,2,CLE,2,4,1031.0,2,WAS,1,0,4,1
