,assists,blocks,date,defensive_rebounds,field_goal_attempts,field_goals,first_name,free_throw_attempts,free_throws,is_home,last_name,offensive_rebounds,opponent,personal_fouls,points,seconds_played,steals,team,three_point_field_goal_attempts,three_point_field_goals,total_rebounds,turnovers
0,2,1,2013-10-29,4,18,13,Carlos,5,5,False,Boozer,3,MIA,4,31,1944.0,1,CHI,0,0,7,2
1,1,3,2013-10-29,7,10,8,DeAndre,2,1,False,Jordan,4,LAL,5,17,2129.0,3,LAC,0,0,11,1
2,5,3,2013-10-29,5,16,8,Paul,7,5,True,George,1,ORL,0,24,2165.0,1,IND,6,3,6,4
3,11,0,2013-10-29,6,13,5,Chris,5,5,False,Paul,0,LAL,4,15,2158.0,5,LAC,2,0,6,1
4,3,1,2013-10-29,3,12,6,Jimmy,7,6,False,Butler,0,MIA,4,20,1795.0,5,CHI,4,2,3,2
5,5,1,2013-10-29,5,12,8,Lance,2,1,True,Stephenson,2,ORL,2,19,2138.0,0,IND,3,2,7,1
6,2,0,2013-10-29,4,13,8,Xavier,8,3,True,Henry,2,LAC,1,22,1584.0,1,LAL,4,3,6,1
7,8,0,2013-10-29,6,11,5,LeBron,9,7,True,James,0,CHI,0,17,2281.0,1,MIA,1,0,6,2
8,2,1,2013-10-29,1,8,6,Jordan,0,0,True,Hill,7,LAC,2,12,1082.0,1,LAL,0,0,8,1
9,0,7,2013-10-29,10,6,3,Roy,4,2,True,Hibbert,6,ORL,0,8,1614.0,1,IND,0,0,16,3
10,0,0,2013-10-29,3,10,8,Andrew,0,0,False,Nicholson,1,IND,4,18,1157.0,1,ORL,2,2,4,1
11,4,0,2013-10-29,1,8,3,Mario,7,6,True,Chalmers,2,CHI,2,13,1610.0,5,MIA,3,1,3,3
12,6,0,2013-10-29,2,10,6,Jordan,4,2,True,Farmar,2,LAC,5,16,1636.0,1,LAL,3,2,4,3
13,0,3,2013-10-29,5,11,6,Chris,4,3,True,Bosh,1,CHI,3,16,1882.0,0,MIA,2,1,6,1
14,1,0,2013-10-29,2,6,5,Shane,0,0,True,Battier,0,CHI,3,14,1330.0,0,MIA,4,4,2,0
15,3,0,2013-10-29,4,8,4,Taj,3,2,False,Gibson,4,MIA,1,10,1759.0,0,CHI,0,0,8,0
16,7,0,2013-10-29,4,13,4,Jameer,1,1,False,Nelson,1,IND,1,12,1834.0,2,ORL,7,3,5,2
17,4,0,2013-10-29,12,12,5,Pau,4,4,True,Gasol,1,LAC,0,15,1469.0,0,LAL,2,1,13,5
18,3,0,2013-10-29,5,15,8,Blake,10,3,False,Griffin,2,LAL,1,19,2409.0,1,LAC,0,0,7,4
19,3,0,2013-10-29,7,7,5,Norris,0,0,True,Cole,0,CHI,0,11,1270.0,1,MIA,3,1,7,3
20,3,5,2013-10-29,5,11,4,David,5,5,True,West,0,ORL,2,13,1843.0,2,IND,0,0,5,5
21,0,2,2013-10-29,4,10,5,Chris,0,0,True,Kaman,4,LAC,1,10,1180.0,1,LAL,0,0,8,1
22,2,0,2013-10-29,3,8,4,Jodie,2,2,True,Meeks,0,LAC,2,13,1535.0,1,LAL,6,3,3,2
23,0,2,2013-10-29,7,5,3,Chris,0,0,True,Andersen,1,CHI,2,6,993.0,2,MIA,0,0,8,0
24,3,0,2013-10-29,1,12,5,J.J.,1,1,False,Redick,1,LAL,0,13,2029.0,0,LAC,5,2,2,1
25,7,1,2013-10-29,1,7,3,Ray,2,2,True,Allen,0,CHI,4,11,1579.0,0,MIA,6,3,1,3
26,3,0,2013-10-29,2,13,5,Jamal,2,2,False,Crawford,1,LAL,0,15,1554.0,0,LAC,6,3,3,3
27,3,0,2013-10-29,4,6,3,Matt,1,1,False,Barnes,2,LAL,4,8,1708.0,2,LAC,3,1,6,3
28,1,0,2013-10-29,1,3,2,Steve,0,0,True,Blake,1,LAC,1,6,1345.0,1,LAL,2,2,2,0
29,0,0,2013-10-29,0,13,6,Maurice,1,0,False,Harkless,1,IND,4,14,1410.0,1,ORL,2,2,1,0
30,0,0,2013-10-29,1,4,3,Orlando,2,2,True,Johnson,0,ORL,1,9,912.0,0,IND,2,1,1,1
31,1,0,2013-10-29,1,5,4,Darren,0,0,False,Collison,0,LAL,2,9,749.0,0,LAC,1,1,1,2
32,0,0,2013-10-29,1,10,3,Nick,8,6,True,Young,0,LAC,1,13,1323.0,1,LAL,4,1,1,2
33,1,0,2013-10-29,3,9,3,Mike,2,2,False,Dunleavy,0,MIA,1,10,1376.0,0,CHI,4,2,3,1
34,3,1,2013-10-29,5,11,4,Nikola,0,0,False,Vucevic,5,IND,4,8,1839.0,2,ORL,0,0,10,5
35,3,1,2013-10-29,4,13,5,Dwyane,5,2,True,Wade,0,CHI,4,13,2167.0,1,MIA,1,1,4,3
36,2,0,2013-10-29,2,11,4,Victor,5,3,False,Oladipo,1,IND,2,12,1355.0,1,ORL,2,1,3,3
37,2,2,2013-10-29,9,4,1,Joakim,2,0,False,Noah,2,MIA,2,2,1209.0,2,CHI,0,0,11,2
38,1,0,2013-10-29,1,7,4,Luis,0,0,True,Scola,0,ORL,2,8,1243.0,0,IND,0,0,1,1
39,0,3,2013-10-29,4,7,3,Kyle,0,0,False,O'Quinn,0,IND,2,6,863.0,0,ORL,0,0,4,1
40,1,0,2013-10-29,0,6,3,E'Twaun,0,0,False,Moore,1,IND,2,6,1545.0,2,ORL,1,0,1,2
41,3,0,2013-10-29,2,5,2,C.J.,2,0,True,Watson,0,ORL,0,5,1194.0,0,IND,4,1,2,1
42,3,0,2013-10-29,1,2,1,Ronnie,0,0,False,Price,0,IND,2,2,517.0,0,ORL,0,0,1,0
43,0,0,2013-10-29,0,1,1,Reggie,0,0,False,Bullock,0,LAL,0,2,64.0,0,LAC,0,0,0,0
44,0,0,2013-10-29,2,8,2,George,4,3,True,Hill,0,ORL,0,7,1744.0,0,IND,2,0,2,1
45,4,0,2013-10-29,4,8,2,Luol,0,0,False,Deng,1,MIA,4,4,1768.0,2,CHI,5,0,5,3
46,2,0,2013-10-29,3,6,2,Jared,0,0,False,Dudley,0,LAL,4,5,1363.0,0,LAC,4,1,3,1
47,1,0,2013-10-29,1,0,0,Nazr,0,0,False,Mohammed,1,MIA,1,0,316.0,0,CHI,0,0,2,0
48,0,2,2013-10-29,2,1,0,Ian,6,4,True,Mahinmi,1,ORL,5,4,1002.0,0,IND,0,0,3,2
49,0,0,2013-10-29,2,4,2,Udonis,2,2,True,Haslem,1,CHI,3,6,1288.0,0,MIA,0,0,3,3
50,0,2,2013-10-29,2,5,1,Shawne,2,1,True,Williams,1,LAC,3,3,770.0,1,LAL,3,0,3,1
51,5,0,2013-10-29,1,3,1,Steve,0,0,True,Nash,0,LAC,3,3,1244.0,0,LAL,1,1,1,3
52,1,0,2013-10-29,2,14,3,Arron,3,2,False,Afflalo,1,IND,1,9,1979.0,0,ORL,5,1,3,1
53,3,0,2013-10-29,1,6,2,Kirk,0,0,False,Hinrich,0,MIA,6,6,1769.0,0,CHI,4,2,1,2
54,0,0,2013-10-29,0,0,0,Rasual,0,0,True,Butler,0,ORL,0,0,58.0,0,IND,0,0,0,0
55,4,0,2013-10-29,1,15,4,Derrick,4,3,False,Rose,0,MIA,2,12,2061.0,0,CHI,7,1,1,5
56,0,0,2013-10-29,1,1,0,Solomon,0,0,False,Jones,1,IND,2,0,322.0,0,ORL,0,0,2,0
57,0,1,2013-10-29,1,2,0,Ryan,2,0,False,Hollins,0,LAL,1,0,237.0,0,LAC,0,0,1,0
58,0,0,2013-10-29,1,1,0,Solomon,0,0,True,Hill,0,ORL,1,0,487.0,0,IND,0,0,1,1
59,0,2,2013-10-29,4,5,0,Jason,0,0,False,Maxiell,1,IND,2,0,1579.0,1,ORL,0,0,5,2
60,0,0,2013-10-29,0,3,0,Tony,0,0,False,Snell,0,MIA,2,0,403.0,1,CHI,2,0,0,1
61,1,1,2013-10-29,3,11,1,Wesley,0,0,True,Johnson,0,LAC,4,3,1232.0,0,LAL,4,1,3,0
62,12,0,2013-10-30,7,10,6,Michael,8,6,True,Carter-Williams,0,MIA,1,22,2170.0,9,PHI,6,4,7,1
63,1,0,2013-10-30,2,19,15,Klay,4,3,True,Thompson,1,LAL,3,38,1864.0,0,GSW,7,5,3,1
64,1,0,2013-10-30,6,24,9,Kevin,24,22,False,Durant,0,UTA,1,42,2349.0,3,OKC,8,2,6,5
65,4,0,2013-10-30,13,19,8,Kevin,16,12,True,Love,4,ORL,3,31,2437.0,0,MIN,8,3,17,1
66,5,0,2013-10-30,6,19,9,Paul,13,10,False,George,0,NOP,2,32,2366.0,2,IND,11,4,6,2
67,2,1,2013-10-30,2,20,10,Damian,8,6,False,Lillard,2,PHO,2,32,2532.0,1,POR,12,6,4,0
68,3,3,2013-10-30,9,15,9,Nikola,6,4,False,Vucevic,7,MIN,4,22,2740.0,3,ORL,0,0,16,2
69,8,0,2013-10-30,4,17,11,Monta,8,8,True,Ellis,0,ATL,3,32,2208.0,2,DAL,3,2,4,7
70,3,0,2013-10-30,9,14,8,Trevor,8,6,False,Ariza,1,DET,4,28,2258.0,1,WAS,11,6,10,2
71,13,0,2013-10-30,4,17,9,LeBron,4,3,False,James,0,PHI,3,25,2198.0,0,MIA,7,4,4,4
72,9,0,2013-10-30,6,21,12,Goran,1,1,True,Dragic,0,POR,4,26,2466.0,1,PHO,4,1,6,3
73,1,2,2013-10-30,9,26,13,DeMarcus,7,4,True,Cousins,5,DEN,4,30,2350.0,2,SAC,0,0,14,4
74,5,0,2013-10-30,9,22,11,Arron,4,3,False,Afflalo,0,MIN,1,28,2464.0,1,ORL,5,3,9,3
75,5,1,2013-10-30,5,13,8,David,9,8,True,Lee,3,LAL,3,24,1594.0,0,GSW,0,0,8,4
76,9,0,2013-10-30,2,13,7,Jeff,12,9,False,Teague,0,DAL,3,24,2059.0,4,ATL,4,1,2,6
77,2,0,2013-10-30,6,14,10,Spencer,4,3,True,Hawes,3,MIA,4,24,1763.0,0,PHI,2,1,9,2
78,5,0,2013-10-30,4,14,8,Dirk,4,4,True,Nowitzki,0,ATL,4,24,1980.0,0,DAL,6,4,4,1
79,3,1,2013-10-30,11,15,6,Greg,15,12,True,Monroe,5,WAS,3,24,2486.0,1,DET,0,0,16,5
80,2,1,2013-10-30,5,16,8,Jeff,9,7,False,Green,0,TOR,4,25,2223.0,1,BOS,3,2,5,1
81,5,0,2013-10-30,4,19,10,Evan,6,6,True,Turner,0,MIA,3,26,2233.0,1,PHI,4,0,4,3
82,5,0,2013-10-30,7,18,8,Jrue,6,6,True,Holiday,0,IND,3,24,2168.0,1,NOP,4,2,7,2
83,6,0,2013-10-30,5,16,8,Alec,9,8,True,Burks,1,OKC,3,24,1890.0,0,UTA,3,0,6,3
84,6,0,2013-10-30,7,12,7,Eric,11,8,True,Bledsoe,0,POR,2,22,2332.0,1,PHO,3,0,7,4
85,1,0,2013-10-30,5,13,7,Ray,1,1,False,Allen,1,PHI,0,19,1671.0,2,MIA,9,4,6,0
86,0,3,2013-10-30,10,14,8,Miles,2,2,True,Plumlee,5,POR,1,18,2396.0,0,PHO,0,0,15,2
87,2,0,2013-10-30,3,22,12,LaMarcus,5,4,False,Aldridge,1,PHO,2,28,2366.0,0,POR,0,0,4,2
88,2,0,2013-10-30,1,7,6,Brandon,5,5,False,Bass,1,TOR,2,17,1933.0,2,BOS,0,0,2,1
89,2,2,2013-10-30,20,14,8,Dwight,4,1,True,Howard,6,CHA,3,17,2081.0,0,HOU,0,0,26,4
90,2,0,2013-10-30,1,13,7,P.J.,2,2,True,Tucker,4,POR,1,18,2316.0,2,PHO,2,2,5,1
91,1,0,2013-10-30,2,19,8,Eric,9,6,True,Gordon,1,IND,0,25,2009.0,2,NOP,5,3,3,1
92,1,0,2013-10-30,7,13,8,Chris,4,4,False,Bosh,3,PHI,4,22,2055.0,1,MIA,3,2,10,4
93,8,0,2013-10-30,5,15,5,Ty,8,8,False,Lawson,0,SAC,1,20,2147.0,2,DEN,4,2,5,4
94,5,0,2013-10-30,2,8,4,Chauncey,4,4,True,Billups,1,WAS,3,16,1838.0,1,DET,5,4,3,1
95,1,4,2013-10-30,3,18,9,Brook,5,3,False,Lopez,2,CLE,3,21,2017.0,0,BRK,0,0,5,1
96,3,1,2013-10-30,3,15,9,Paul,4,2,False,Millsap,2,DAL,4,20,2145.0,1,ATL,2,0,5,2
97,11,0,2013-10-30,0,21,8,John,6,4,False,Wall,2,DET,3,20,2339.0,3,WAS,4,0,2,4
98,1,0,2013-10-30,1,8,4,Cartier,6,6,False,Martin,1,DAL,3,17,1005.0,1,ATL,7,3,2,0
99,3,0,2013-10-30,0,12,7,Raymond,4,4,True,Felton,1,MIL,2,18,2058.0,3,NYK,1,0,1,3
100,2,0,2013-10-30,4,8,5,Paul,4,4,False,Pierce,0,CLE,2,17,1791.0,0,BRK,4,3,4,1
101,4,0,2013-10-30,6,12,7,Lance,0,0,False,Stephenson,2,NOP,1,16,2480.0,0,IND,4,2,8,2
102,3,1,2013-10-30,3,9,5,Josh,2,2,False,McRoberts,1,HOU,3,15,1787.0,1,CHA,4,3,4,1
103,5,1,2013-10-30,4,12,8,Josh,0,0,True,Smith,1,WAS,5,19,2383.0,0,DET,7,3,5,4
104,4,0,2013-10-30,3,13,6,Mario,0,0,False,Chalmers,2,PHI,4,16,1835.0,3,MIA,6,4,5,2
105,2,0,2013-10-30,4,16,9,Vince,2,1,True,Carter,0,ATL,3,21,1522.0,1,DAL,5,2,4,2
106,3,0,2013-10-30,2,19,6,Kevin,9,9,True,Martin,0,ORL,1,23,2602.0,0,MIN,7,2,2,1
107,0,0,2013-10-30,6,13,8,Tristan,4,2,True,Thompson,3,BRK,2,18,2091.0,0,CLE,0,0,9,1
108,1,0,2013-10-30,6,7,3,DeMarre,8,6,False,Carroll,1,DAL,1,14,2070.0,3,ATL,4,2,7,2
109,11,1,2013-10-30,4,15,5,Ricky,2,2,True,Rubio,2,ORL,3,13,2407.0,3,MIN,3,1,6,4
110,4,0,2013-10-30,2,9,6,Greivis,5,4,True,Vasquez,0,DEN,2,17,2178.0,0,SAC,2,1,2,2
111,5,0,2013-10-30,3,9,5,Isaiah,4,3,True,Thomas,1,DEN,3,16,1756.0,0,SAC,4,3,4,2
112,0,3,2013-10-30,5,20,8,Anthony,4,4,True,Davis,7,IND,4,20,2264.0,1,NOP,0,0,12,4
113,2,1,2013-10-30,2,8,6,Tony,3,0,False,Allen,1,SAS,0,15,1688.0,2,MEM,3,3,3,3
114,5,0,2013-10-30,4,9,6,Manu,0,0,True,Ginobili,0,MEM,2,12,1449.0,2,SAS,1,0,4,1
115,5,0,2013-10-30,2,16,7,James,6,6,True,Harden,1,CHA,1,21,2211.0,1,HOU,6,1,3,5
116,3,0,2013-10-30,9,10,6,Zaza,1,1,False,Pachulia,2,NYK,4,13,2033.0,2,MIL,0,0,11,2
117,5,1,2013-10-30,1,13,7,Will,6,4,True,Bynum,0,WAS,4,19,2285.0,2,DET,2,1,1,4
118,3,4,2013-10-30,4,12,5,Al,2,1,False,Horford,1,DAL,1,11,1919.0,5,ATL,0,0,5,3
119,3,1,2013-10-30,0,9,4,Quincy,3,3,False,Pondexter,2,SAS,0,13,1314.0,1,MEM,4,2,2,1
120,0,3,2013-10-30,7,4,3,Tyler,2,1,True,Hansbrough,5,BOS,1,7,1480.0,0,TOR,0,0,12,0
121,2,0,2013-10-30,2,11,7,Corey,3,1,True,Brewer,1,ORL,2,16,2380.0,3,MIN,4,1,3,3
122,3,0,2013-10-30,2,11,5,Reggie,2,2,False,Jackson,0,UTA,2,14,1934.0,5,OKC,4,2,2,3
123,1,1,2013-10-30,7,10,6,Enes,2,2,True,Kanter,3,OKC,2,14,1741.0,0,UTA,0,0,10,2
124,1,0,2013-10-30,0,4,4,Patty,1,1,True,Mills,1,MEM,0,12,1003.0,0,SAS,3,3,1,0
125,2,1,2013-10-30,1,8,6,Amir,0,0,True,Johnson,2,BOS,4,13,1458.0,0,TOR,3,1,3,0
126,1,0,2013-10-30,8,16,7,Carmelo,6,5,True,Anthony,2,MIL,2,19,2259.0,1,NYK,2,0,10,3
127,1,0,2013-10-30,1,13,7,Francisco,0,0,True,Garcia,0,CHA,2,19,1803.0,0,HOU,9,5,1,1
128,1,1,2013-10-30,4,9,6,Boris,2,1,True,Diaw,0,MEM,2,14,1220.0,0,SAS,3,1,4,0
