,assists,blocks,date,defensive_rebounds,field_goal_attempts,field_goals,first_name,free_throw_attempts,free_throws,is_home,last_name,offensive_rebounds,opponent,personal_fouls,points,seconds_played,steals,team,three_point_field_goal_attempts,three_point_field_goals,total_rebounds,turnovers
0,6,0,2016-10-25,8,20,13,Damian,9,9,True,Lillard,1,UTA,3,39,2125.0,0,POR,6,4,9,4
1,3,0,2016-10-25,2,21,10,Kawhi,15,15,False,Leonard,3,GSW,1,35,1923.0,5,SAS,3,0,5,2
2,4,2,2016-10-25,10,18,11,Kevin,5,4,True,Durant,0,SAS,2,27,2196.0,2,GSW,3,1,10,0
3,3,0,2016-10-25,4,16,12,Joe,2,2,False,Johnson,0,POR,0,29,1830.0,1,UTA,4,3,4,2
4,4,0,2016-10-25,1,22,12,Kyrie,1,1,True,Irving,1,NYK,1,29,1788.0,2,CLE,7,4,2,0
5,3,0,2016-10-25,6,20,10,LaMarcus,6,5,False,Aldridge,8,GSW,1,26,2111.0,1,SAS,1,1,14,2
6,6,1,2016-10-25,7,14,7,Draymond,2,2,True,Green,5,SAS,2,18,1957.0,5,GSW,5,2,12,2
7,14,1,2016-10-25,8,14,9,LeBron,2,1,True,James,3,NYK,3,19,1943.0,0,CLE,3,0,11,4
8,1,1,2016-10-25,2,17,9,Rodney,5,5,False,Hood,0,POR,3,26,2259.0,2,UTA,7,3,2,0
9,2,0,2016-10-25,10,15,6,Kevin,12,9,True,Love,2,NYK,3,23,1498.0,3,CLE,6,2,12,2
10,3,0,2016-10-25,1,16,8,C.J.,7,7,True,McCollum,1,UTA,3,25,2076.0,1,POR,2,2,2,3
11,4,0,2016-10-25,3,18,9,Stephen,6,5,True,Curry,0,SAS,1,26,2046.0,0,GSW,10,3,3,4
12,6,1,2016-10-25,2,18,7,George,4,4,False,Hill,0,POR,2,19,2325.0,2,UTA,6,1,2,1
13,3,1,2016-10-25,3,14,8,Jonathon,3,1,False,Simmons,1,GSW,2,20,1690.0,0,SAS,5,3,4,2
14,5,0,2016-10-25,1,9,4,Patty,0,0,False,Mills,0,GSW,1,11,1071.0,4,SAS,5,3,1,0
15,3,0,2016-10-25,3,10,6,Allen,2,2,True,Crabbe,0,UTA,2,18,1749.0,0,POR,5,4,3,2
16,2,2,2016-10-25,10,7,4,Rudy,4,4,False,Gobert,4,POR,3,12,2457.0,0,UTA,0,0,14,3
17,1,0,2016-10-25,4,7,5,Richard,2,1,True,Jefferson,0,NYK,1,13,1547.0,2,CLE,3,2,4,2
18,0,1,2016-10-25,1,5,5,Noah,0,0,True,Vonleh,0,UTA,1,11,966.0,0,POR,1,1,1,0
19,0,2,2016-10-25,3,13,5,Kristaps,6,3,False,Porzingis,4,CLE,5,16,1968.0,1,NYK,5,3,7,2
20,3,0,2016-10-25,4,18,8,Carmelo,2,2,False,Anthony,1,CLE,5,19,1805.0,1,NYK,4,1,5,4
21,1,1,2016-10-25,4,3,2,Ed,2,2,True,Davis,3,UTA,2,6,1447.0,0,POR,0,0,7,0
22,2,0,2016-10-25,5,7,2,Justin,2,2,False,Holiday,1,CLE,0,8,1587.0,1,NYK,3,2,6,0
23,2,0,2016-10-25,4,3,2,Mike,0,0,True,Dunleavy,0,NYK,0,4,1352.0,3,CLE,1,0,4,0
24,2,0,2016-10-25,5,10,4,Manu,0,0,False,Ginobili,0,GSW,1,10,1252.0,1,SAS,6,2,5,0
25,1,0,2016-10-25,4,6,3,Al-Farouq,1,1,True,Aminu,0,UTA,0,9,1704.0,1,POR,3,2,4,1
26,1,1,2016-10-25,1,17,7,Derrick,2,2,False,Rose,2,CLE,1,17,1775.0,0,NYK,2,1,3,4
